fid,Plant_ID,spl_code,Panel,General,Detail,Cut,Panel+Label,x_coord,y_coord,mg
"28",Quassia amara L.,dbgi_001090,DCIM/JPEG_20230223112953282.jpg,DCIM/JPEG_20230223112847616.jpg,DCIM/JPEG_20230223113039735.jpg,DCIM/JPEG_20230223113111990.jpg,DCIM/JPEG_20230223113006467.jpg,"2578411.223517677","1182432.6814104535",
"29",Khaya senegalensis (Desr.) A. Juss,dbgi_001085,DCIM/JPEG_20230223113412284.jpg,DCIM/JPEG_20230223113425000.jpg,DCIM/JPEG_20230223113503256.jpg,DCIM/JPEG_20230223113527478.jpg,DCIM/JPEG_20230223113444260.jpg,"2578412.9194208956","1182432.6682639169",
"30",Commiphora abyssinica Engl.,dbgi_001088,DCIM/JPEG_20230223114030899.jpg,DCIM/JPEG_20230223114107647.jpg,DCIM/JPEG_20230223114131827.jpg,DCIM/JPEG_20230223114226606.jpg,DCIM/JPEG_20230223114042527.jpg,"2578391.436989099","1182478.6637198038",
"31",Ruta chalepensis L.,dbgi_001110,DCIM/JPEG_20230224132248217.jpg,DCIM/JPEG_20230224132310720.jpg,DCIM/JPEG_20230224132321387.jpg,DCIM/JPEG_20230224132329093.jpg,DCIM/JPEG_20230224132336858.jpg,"2578382.9304584055","1182485.0378281395",
"32",Ruta graveolens L.,dbgi_001109,DCIM/JPEG_20230224132744258.jpg,DCIM/JPEG_20230224132713813.jpg,DCIM/JPEG_20230224132758249.jpg,DCIM/JPEG_20230224132833974.jpg,DCIM/JPEG_20230224132638006.jpg,"2578470.5030715866","1182469.9617046122",
"33",Acer opalus Mill.,dbgi_001091,DCIM/JPEG_20230224133653090.jpg,DCIM/JPEG_20230224133633389.jpg,DCIM/JPEG_20230224133535171.jpg,DCIM/Stephanie_sampleAcer opalus Mill.dbgi_001091DCIM/JPEG_20230224133449525.jpg.jpg,DCIM/JPEG_20230224133426436.jpg,"2578466.307976346","1182367.1818711758",
"34",Acer griseum (Franch.) Pax,dbgi_001092,DCIM/JPEG_20230224133848647.jpg,DCIM/JPEG_20230224133858726.jpg,DCIM/JPEG_20230224133908536.jpg,DCIM/JPEG_20230224133929329.jpg,DCIM/JPEG_20230224134111896.jpg,"2578471.0274584936","1182365.0187751914",
"35",Acer capillipes Maxim.,dbgi_001093,DCIM/JPEG_20230224134321085.jpg,DCIM/JPEG_20230224134328959.jpg,DCIM/JPEG_20230224134341455.jpg,DCIM/JPEG_20230224134440784.jpg,DCIM/JPEG_20230224134602897.jpg,"2578477.3201013575","1182360.6925832229",
"36",Acer rufinerve Siebold et Zucc.,dbgi_001094,DCIM/JPEG_20230224134804291.jpg,DCIM/JPEG_20230224134815990.jpg,DCIM/JPEG_20230224134827762.jpg,DCIM/JPEG_20230224134855912.jpg,DCIM/JPEG_20230224135024551.jpg,"2578487.5456460104","1182355.8420043488",
"37",Acer palmatum Murray,dbgi_001095,DCIM/JPEG_20230224135230971.jpg,DCIM/JPEG_20230224135554583.jpg,DCIM/JPEG_20230224135243452.jpg,DCIM/JPEG_20230224135511601.jpg,DCIM/JPEG_20230224135307027.jpg,"2578492.920611789","1182353.5478116376",
"38",Acer saccharinum L.,dbgi_001096,DCIM/JPEG_20230224135844566.jpg,DCIM/JPEG_20230224135854330.jpg,DCIM/JPEG_20230224135906804.jpg,DCIM/JPEG_20230224135936977.jpg,DCIM/JPEG_20230224140222450.jpg,"2578503.998285163","1182349.4838131217",
"39",Acer japonicum Thunb.,dbgi_001097,DCIM/JPEG_20230224140426466.jpg,DCIM/JPEG_20230224140436422.jpg,DCIM/JPEG_20230224140447779.jpg,DCIM/JPEG_20230224140513144.jpg,DCIM/JPEG_20230224140618215.jpg,"2578504.2604786158","1182347.1896204113",
"40",Acer buergerianum Miq.,dbgi_001098,DCIM/JPEG_20230224141009726.jpg,DCIM/JPEG_20230224141019860.jpg,DCIM/JPEG_20230224141035637.jpg,DCIM/JPEG_20230224141418851.jpg,DCIM/JPEG_20230224141259312.jpg,"2578507.86563859","1182351.909102559",
"41",Acer hyrcanum Fisch. et C.A. Mey.,dbgi_001099,DCIM/JPEG_20230224141953239.jpg,DCIM/JPEG_20230224142014459.jpg,DCIM/JPEG_20230224142022448.jpg,DCIM/JPEG_20230224142039618.jpg,DCIM/JPEG_20230224142002528.jpg,"2578499.3443513797","1182343.1911702584",
"42",Acer negundo L. subsp. negundo,dbgi_001100,DCIM/JPEG_20230224142335796.jpg,DCIM/JPEG_20230224142140047.jpg,DCIM/JPEG_20230224142224193.jpg,DCIM/JPEG_20230224142241968.jpg,DCIM/JPEG_20230224142318283.jpg,"2578501.9007375427","1182339.9137521",
"43",Acer saccharum Marshall,dbgi_001101,DCIM/JPEG_20230224142853145.jpg,DCIM/JPEG_20230224142905225.jpg,DCIM/JPEG_20230224142915427.jpg,DCIM/JPEG_20230224142938036.jpg,DCIM/JPEG_20230224143042281.jpg,"2578505.37480079","1182334.2765928681",
"44",Acer mono Maxim.,dgbi_001102,DCIM/JPEG_20230224143245407.jpg,DCIM/JPEG_20230224143140051.jpg,DCIM/JPEG_20230224143253006.jpg,DCIM/JPEG_20230224143302966.jpg,DCIM/JPEG_20230224143229741.jpg,"2578506.423574601","1182336.8329790314",
"45",Acer cappadocicum Gled.,dgbi_001103,DCIM/JPEG_20230224143621584.jpg,DCIM/JPEG_20230224143630796.jpg,DCIM/JPEG_20230224143823563.jpg,DCIM/JPEG_20230224143736867.jpg,DCIM/JPEG_20230224143711503.jpg,"2578510.422024753","1182332.1790452464",
"46",Acer campestre L.,dbgi_001104,DCIM/JPEG_20230224143945588.jpg,DCIM/JPEG_20230224144055061.jpg,DCIM/JPEG_20230224144112488.jpg,DCIM/JPEG_20230224144121746.jpg,DCIM/JPEG_20230224144141514.jpg,"2578511.732992016","1182336.7018823049",
"47",Acer tataricum L. subsp. tataricum,dbgi_001105,DCIM/JPEG_20230224144507982.jpg,DCIM/JPEG_20230224144607605.jpg,DCIM/JPEG_20230224144535336.jpg,DCIM/JPEG_20230224144551322.jpg,DCIM/JPEG_20230224144522537.jpg,"2578509.7665411215","1182339.0616233787",
"48",Acer sempervirens L.,dbgi_001106,DCIM/JPEG_20230224145021943.jpg,DCIM/JPEG_20230224145044214.jpg,DCIM/JPEG_20230224145056917.jpg,DCIM/JPEG_20230224145119600.jpg,DCIM/JPEG_20230224145031032.jpg,"2578466.963459977","1182363.7733562905",
"49",Acer monspessulanum L.,dbgi_001107,DCIM/JPEG_20230224145727996.jpg,DCIM/JPEG_20230224145737533.jpg,DCIM/JPEG_20230224145653048.jpg,DCIM/JPEG_20230224145708510.jpg,DCIM/JPEG_20230224145628236.jpg,"2578473.45274793","1182358.9227774164",
"50",Acer carpinifolium Siebold et Zucc.,dbgi_001108,DCIM/JPEG_20230224145854903.jpg,DCIM/JPEG_20230224150059238.jpg,DCIM/JPEG_20230224145938066.jpg,DCIM/JPEG_20230224150021313.jpg,DCIM/JPEG_20230224145923193.jpg,"2578484.0060344","1182352.5645861903",
