x_coord,y_coord,spl_code,Plant_ID,ipen,match_name,ott_id,rank,wikidataID,unknown,UUID,Airtable
2578488.962,1182403.541,DBGI_SPL_000434,Davidia involucrata Baill. s.l.,XX 0 FRIBG 20150346,Davidia involucrata,"555257",species,,,{4563da82-75d1-40e2-9edc-22f6e483595a},
2578488.742,1182407.239,DBGI_SPL_000493,Cornus alternifolia L. f.,XX 0 FRIBG 20160297,Cornus alternifolia,"505075",species,,,{abf1b233-ac74-41db-80ac-52a0535017e6},
2578492.435,1182401.953,DBGI_SPL_000406,Cornus sanguinea L.,CH 0 FRIBG 20020117,Cornus sanguinea,"21994",species,,,{43eda29b-d5c4-4acb-ae82-1881f3693870},
2578492.165,1182405.251,DBGI_SPL_000481,Deutzia scabra Thunb. 'Pride of Rochester',XX 0 FRIBG 20150347,Deutzia scabra,"282338",species,http://www.wikidata.org/entity/Q162403,,{d706c669-9430-4e58-8609-15d2984d5e5c},
2578493.444,1182407.058,DBGI_SPL_000386,Philadelphus coronarius L.,XX 0 FRIBG 20150355,Philadelphus coronarius,"3900147",species,http://www.wikidata.org/entity/Q163791,,{911d62b6-57ba-4374-a5c6-4c6dca4bfca4},
2578494.383,1182404.218,DBGI_SPL_000426,Kirengeshoma palmata Yatabe,XX 0 FRIBG 20060419,Kirengeshoma palmata,"880698",species,,,{eb129202-66c8-4bf7-861b-242a543e521a},
2578493.643,1182404.594,DBGI_SPL_000450,Hydrangea arborescens subsp. discolor (Ser.) E.M. McClint.,XX 0 FRIBG 10001361,Hydrangea arborescens,"785493",species,http://www.wikidata.org/entity/Q278173,,{1006a9d3-3536-460a-84cd-96969236b325},
2578494.490,1182404.822,DBGI_SPL_000451,Hydrangea paniculata Siebold 'Grandiflora',XX 0 FRIBG 20150351,Hydrangea paniculata,"225987",species,http://www.wikidata.org/entity/Q158443,,{50d17e7e-37dd-4059-8b05-2771da165173},
2578495.342,1182405.816,DBGI_SPL_000381,Hydrangea aspera D. Don,XX 0 FRIBG 20190227,Hydrangea aspera,"337774",species,http://www.wikidata.org/entity/Q1332124,,{c382e5b6-bbcf-423e-8bed-f59e3bd9d8e3},
2578495.745,1182406.550,DBGI_SPL_000504,Hydrangea macrophylla (Murray) Ser.,XX 0 FRIBG 10001368,Hydrangea macrophylla,"162001",species,http://www.wikidata.org/entity/Q159219,,{f182fe17-a451-4b22-811d-9070d41e9ee0},
2578498.280,1182403.506,DBGI_SPL_000462,Vitis labrusca L.,XX 0 FRIBG 10002486,Vitis labrusca,"683964",species,http://www.wikidata.org/entity/Q311720,,{0c658c9c-6f18-4216-9358-bdffd2552e1c},
2578498.317,1182401.721,DBGI_SPL_000446,Vitis vulpina L.,XX 0 FRIBG 10002487,Vitis vulpina,"602495",species,http://www.wikidata.org/entity/Q1264038,,{8a260e13-1a27-451b-9e94-66aaee69fa1d},
2578499.828,1182404.034,DBGI_SPL_000443,Ampelopsis glandulosa var. brevipedunculata (Maxim.) Momiy.,AT 0 GZU 95 200388,Ampelopsis glandulosa,"769625",species,,,{2ea78b85-3eab-40dd-bee8-a1376ee7c413},
2578496.338,1182400.302,DBGI_SPL_000380,Paeonia suffruticosa Andrews subsp. suffruticosa,XX 0 FRIBG 20150372,Paeonia suffruticosa,"137620",species,http://www.wikidata.org/entity/Q163018,,{2f9e109e-cbb7-4a20-9947-4f7cabb858d0},
2578496.973,1182400.288,DBGI_SPL_000452,Paeonia rockii D.Y.Hong,PAYS INCONNU 0 FRIBG 20140335,Paeonia rockii,"360650",species,http://www.wikidata.org/entity/Q2671785,,{cb5a685d-a108-4839-aa15-048dada58368},
2578497.741,1182398.781,DBGI_SPL_000403,Paeonia mascula (L.) Mill. s.l.,XX 0 FRIBG 19970599,Paeonia mascula,"163414",species,,,{3e237c8d-2249-4343-9ec7-a606c6cc1cf9},
