ipen;idTaxon;secteur;matched_name;Inventaire FRIBG;taxon.ott_id;ott_id;rank;wikidataId;wd_taxa_qid
CH 0 FRIBG 19970059;Asplenium septentrionale (L.) Hoffm.;Alp. siliceux;Asplenium septentrionale;asplenium septentrionale;207000;207000;species;http://www.wikidata.org/entity/Q1753134;Q1753134
XX 0 FRIBG 10002798;Asplenium trichomanes L.;Alp. calcaire 3;Asplenium trichomanes;asplenium trichomanes;302576;302576;species;http://www.wikidata.org/entity/Q902211;Q902211
XX 0 FRIBG 20020331;Asplenium trichomanes L.;Foug‚¨res;Asplenium trichomanes;asplenium trichomanes;302576;302576;species;http://www.wikidata.org/entity/Q902211;Q902211
CH 0 FRIBG 20050407;Asplenium trichomanes L.;Alp. calcaire 6;Asplenium trichomanes;asplenium trichomanes;302576;302576;species;http://www.wikidata.org/entity/Q902211;Q902211
XX 0 FRIBG 10002798;Asplenium trichomanes L.;Place du tilleul;Asplenium trichomanes;asplenium trichomanes;302576;302576;species;http://www.wikidata.org/entity/Q902211;Q902211
CH 0 FRIBG 20030858;Aster alpinus L.;Pl. prot‚g‚es;Aster alpinus;aster alpinus;264974;264974;species;http://www.wikidata.org/entity/Q1342885;Q1342885
XX 0 FRIBG 10003030;Aster alpinus L.;Pavillon vert;Aster alpinus;aster alpinus;264974;264974;species;http://www.wikidata.org/entity/Q1342885;Q1342885
CH 0 FRIBG 20120207;Aster alpinus L.;Alp. calcaire 4;Aster alpinus;aster alpinus;264974;264974;species;http://www.wikidata.org/entity/Q1342885;Q1342885
CH 0 FRIBG 20030207;Aster amellus L.;Pl. prot‚g‚es;Aster amellus;aster amellus;877568;877568;species;;
SI 0 LJU N-017-74;Aster amellus L.;Alp. calcaire 3;Aster amellus;aster amellus;877568;877568;species;;
XX 0 FRIBG 20040445;Aster azureus Lindl.;Syst‚¨me 1;Aster azureus;aster azureus;3898549;3898549;species;;
XX 0 FRIBG 20170217;Aster himalaicus C.B.Clarke;Syst‚¨me 1;Aster himalaicus;aster himalaicus;3898872;3898872;species;http://www.wikidata.org/entity/Q15230573;Q15230573
CH 0 FRIBG 19930035;Aster linosyris (L.) Bernh.;Steppe val.;Aster linosyris;aster linosyris;110178;110178;species;http://www.wikidata.org/entity/Q1534538;Q1534538
XX 0 FRIBG 10003084;Aster linosyris (L.) Bernh.;Syst‚¨me 1;Aster linosyris;aster linosyris;110178;110178;species;http://www.wikidata.org/entity/Q1534538;Q1534538
FR 0 FRIBG 20010044;Aster linosyris subsp. armoricanus (Rouy) Kergu‚len;Rocaille 1;;;;;;;
FR 0 FRIBG 20010044;Aster linosyris subsp. armoricanus (Rouy) Kergu‚len;Pavillon vert;;;;;;;
XX 0 FRIBG 20040437;Aster macrophyllus L.;Syst‚¨me 1;Aster macrophyllus;aster macrophyllus;487162;487162;species;;
XX 0 FRIBG 10000668;Aster novi-belgii L.;Syst‚¨me 1;Aster novi-belgii;aster novi-belgii;855680;855680;species;http://www.wikidata.org/entity/Q1537333;Q1537333
XX 0 FRIBG 19950055;Aster pyrenaeus DC.;Pl. m‚dit.;Aster pyrenaeus;aster pyrenaeus;3898860;3898860;species;;
XX 0 FRIBG 20040443;Aster sibiricus L.;Syst‚¨me 1;Aster sibiricus;aster sibiricus;1078266;1078266;species;;
XX 0 FRIBG 20210100;Asteriscus maritimus (L.) Less.;Pl. m‚dit.;Lotus maritimus;lotus maritimus;1024809;1024809;species;http://www.wikidata.org/entity/Q159170;Q159170
XX 0 FRIBG 20010439;Astilbe japonica (C. Morren et Decne.) A.Gray;Syst‚¨me 2;Astilbe japonica;astilbe japonica;1062950;1062950;species;;
XX 0 FRIBG 10000690;Astilboides tabularis (Hemsl.) Engl.;Syst‚¨me 2;Astilboides tabularis;astilboides tabularis;756727;756727;species;;
XX 0 PORTY 11056;Astragalus alopecurus Pall.;Syst‚¨me 2;Astragalus alopecurus;astragalus alopecurus;3924847;3924847;species;http://www.wikidata.org/entity/Q2868491;Q2868491
CH 0 FRIBG 20170354;Astragalus alpinus L.;Alp. calcaire 4;Astragalus alpinus;astragalus alpinus;314135;314135;species;http://www.wikidata.org/entity/Q159210;Q159210
IT 0 FRIBG 20180340;Astragalus australis (L.) Lam.;Alp. calcaire 6;Astragalus alpinus;astragalus alpinus;314135;314135;species;http://www.wikidata.org/entity/Q159210;Q159210
XX 0 FRIBG 10000691;Astragalus boeticus L.;Syst‚¨me 2;Astragalus boeticus;astragalus boeticus;583882;583882;species;;
CH 0 FRIBG 20080356;Astragalus depressus L.;Alp. calcaire 2;Astragalus depressus;astragalus depressus;311677;311677;species;;
CH 0 FRIBG 20080356;Astragalus depressus L.;Pl. prot‚g‚es;Astragalus depressus;astragalus depressus;311677;311677;species;;
CH 0 FRIBG 20050506;Astragalus frigidus (L.) A. Gray;Alp. calcaire 3;Astragalus frigidus;astragalus frigidus;311690;311690;species;;
IT 0 FRIBG 20160462;Astragalus leontinus Wulfen;Alp. calcaire 2;Astragalus leontinus;astragalus leontinus;3923849;3923849;species;;
IT 0 FRIBG 20180348;Astragalus leontinus Wulfen;Alp. calcaire;Astragalus leontinus;astragalus leontinus;3923849;3923849;species;;
IT 0 FRIBG 20020315;Astragalus monspessulanus L.;Steppe val.;Astragalus monspessulanus;astragalus monspessulanus;794666;794666;species;;
FR 0 FRIBG 20030494;Astragalus onobrychis L.;Steppe val.;Astragalus onobrychis;astragalus onobrychis;340173;340173;species;http://www.wikidata.org/entity/Q163365;Q163365
IT 0 FRIBG 20180315;Astragalus onobrychis L.;Alp. calcaire 5;Astragalus onobrychis;astragalus onobrychis;340173;340173;species;http://www.wikidata.org/entity/Q163365;Q163365
XX 0 AJUDA 18.297;Astragalus pelecinus (L.) Barneby;Syst‚¨me 2;Astragalus pelecinus;astragalus pelecinus;611049;611049;species;;
CH 0 FRIBG 20100445;Astragalus penduliflorus Lam.;Alp. calcaire 6;Astragalus penduliflorus;astragalus penduliflorus;278200;278200;species;;
IT 0 FRIBG 20070165;Astragalus sempervirens Lam.;Pl. prot‚g‚es;Astragalus sempervirens;astragalus sempervirens;3925036;3925036;species;http://www.wikidata.org/entity/Q5709904;Q5709904
XX 0 FRIBG 10000695;Astrantia carniolica Wulfen;Syst‚¨me 1;Astrantia carniolica;astrantia carniolica;817477;817477;species;;
CH 0 FRIBG 20020688;Astrantia major L.;Alp. calcaire 2;Astrantia major;astrantia major;1012754;1012754;species;http://www.wikidata.org/entity/Q158066;Q158066
XX 0 FRIBG 10003085;Astrantia major L.;Syst‚¨me 1;Astrantia major;astrantia major;1012754;1012754;species;http://www.wikidata.org/entity/Q158066;Q158066
CH 0 G 20140818;Astrantia minor L.;Alp. siliceux;Astrantia minor;astrantia minor;864713;864713;species;;
XX 0 FRIBG 20120263;Astrophytum asterias (Zucc.) Lem.;Serre 1 Am.;Astrophytum asterias;astrophytum asterias;384274;384274;species;;
XX 0 FRIBG 20110460;Astrophytum myriostigma Grand fleur;Multiplication;Astrophytum myriostigma;astrophytum myriostigma;220902;220902;species;;
XX 0 FRIBG 19730193;Astrophytum myriostigma Lem.;Serre 1 Am.;Astrophytum myriostigma;astrophytum myriostigma;220902;220902;species;;
XX 0 FRIBG 20120264;Astrophytum myriostigma Lem.;Serre 1 Am.;Astrophytum myriostigma;astrophytum myriostigma;220902;220902;species;;
XX 0 FRIBG 20110453;Astrophytum myriostigma Lem.;Multiplication;Astrophytum myriostigma;astrophytum myriostigma;220902;220902;species;;
XX 0 FRIBG 20110452;Astrophytum myriostigma subsp. columnare;Multiplication;Astrophytum myriostigma;astrophytum myriostigma;220902;220902;species;;
XX 0 FRIBG 20110450;Astrophytum myriostigma subsp. nudum (Rob. Mey.) Backeb.;Multiplication;Astrophytum myriostigma;astrophytum myriostigma;220902;220902;species;;
XX 0 FRIBG 20110501;Astrophytum myriostigma var. crassispinoide;Multiplication;Astrophytum myriostigma;astrophytum myriostigma;220902;220902;species;;
