"fid","Plant_ID","spl_code","Panel","General","Detail","Cut","Panel.Label","x_coord","y_coord","mg"
8,"Ranunculus auricomus aggr.","dbgi_000911","files/20230405141800725_QFieldCamera20230405_1618003453684632084119737","files/20230405141811420_QFieldCamera20230405_1618112842317980777354532","files/20230405141821240_QFieldCamera20230405_1618215703605951409342104","files/20230405141836337_QFieldCamera20230405_1618366954360935827290303","files/20230405141907073_QFieldCamera20230405_1619073731879344228505251",7.15650125857439,46.7923458466054,NA
13,"Ranunculus arvensis L.","dbgi_001005","files/20230405144016329_QFieldCamera20230405_1640163331234622433545515","files/20230405144024488_QFieldCamera20230405_1640245851301831850726462","files/20230405144040355_QFieldCamera20230405_1640401693129195015849428","files/20230405144104825_QFieldCamera20230405_1641041428346340564172827","files/20230405144123801_QFieldCamera20230405_1641238217245596389272814",7.15651164609893,46.7923300662111,NA
9,"Ranunculus acris subsp. friesianus (Jord.) Syme","dbgi_001052","DCIM/SBL_20004_2023/Ranunculus acris subsp. friesianus (Jord.) Syme_dbgi_001052_Panel.jpg","DCIM/SBL_20004_2023/Ranunculus acris subsp. friesianus (Jord.) Syme_dbgi_001052_General.jpg","DCIM/SBL_20004_2023/Ranunculus acris subsp. friesianus (Jord.) Syme_dbgi_001052_Detail.jpg","DCIM/SBL_20004_2023/Ranunculus acris subsp. friesianus (Jord.) Syme_dbgi_001052_Cut.jpg","DCIM/SBL_20004_2023/Ranunculus acris subsp. friesianus (Jord.) Syme_dbgi_001052_Panel+Label.jpg",7.15649862458523,46.7923654316819,NA
7,"Delphinium caucasicum C.A.Mey","dbgi_001114","files/20230405141251733_QFieldCamera20230405_1612511989524388620312266","files/20230405141259910_QFieldCamera20230405_1612596894031782306902502","files/20230405141310854_QFieldCamera20230405_1613103742700666376908382","files/20230405141319923_QFieldCamera20230405_1613197285960082949237943","files/20230405141339254_QFieldCamera20230405_1613393492736102409430349",7.15646375278205,46.7924722528404,NA
5,"Aconitum carmichaelii Debeaux","dbgi_001118","DCIM/SBL_20004_2023/Aconitum carmichaelii Debeaux_dbgi_001118_Panel.jpg","DCIM/SBL_20004_2023/Aconitum carmichaelii Debeaux_dbgi_001118_General.jpg","DCIM/SBL_20004_2023/Aconitum carmichaelii Debeaux_dbgi_001118_Detail.jpg","DCIM/SBL_20004_2023/Aconitum carmichaelii Debeaux_dbgi_001118_Cut.jpg","DCIM/SBL_20004_2023/Aconitum carmichaelii Debeaux_dbgi_001118_Panel+Label.jpg",7.15646531778351,46.7924621303435,NA
3,"Aconitum variegatum L.","dbgi_001123","DCIM/SBL_20004_2023/Aconitum variegatum L._dbgi_001123_Panel.jpg","DCIM/SBL_20004_2023/Aconitum variegatum L._dbgi_001123_General.jpg","DCIM/SBL_20004_2023/Aconitum variegatum L._dbgi_001123_Detail.jpg","DCIM/SBL_20004_2023/Aconitum variegatum L._dbgi_001123_Cut.jpg","DCIM/SBL_20004_2023/Aconitum variegatum L._dbgi_001123_Panel+Label.jpg",7.15645258136878,46.7924590477104,NA
11,"Ranunculus repens L.","dbgi_001124","files/20230405143242823_QFieldCamera20230405_1632423998987473535779309","files/20230405143249983_QFieldCamera20230405_1632505141254250173897788","files/20230405143305138_QFieldCamera20230405_1633052388437275176117107","files/20230405143321228_QFieldCamera20230405_1633214175954010439561596","files/20230405143425374_QFieldCamera20230405_163425998399129809687547",7.1565065451928,46.7923400415207,NA
2,"Aconitum vulparia aggr.","dbgi_001126","DCIM/SBL_20004_2023/Aconitum vulparia aggr._dbgi_001126_Panel.jpg","DCIM/SBL_20004_2023/Aconitum vulparia aggr._dbgi_001126_General.jpg","DCIM/SBL_20004_2023/Aconitum vulparia aggr._dbgi_001126_Detail.jpg","DCIM/SBL_20004_2023/Aconitum vulparia aggr._dbgi_001126_Cut.jpg","DCIM/SBL_20004_2023/Aconitum vulparia aggr._dbgi_001126_Panel+Label.jpg",7.15645167684375,46.7924517432798,NA
6,"Delphinium elatum L.","dbgi_001128","files/20230405140809665_QFieldCamera20230405_1608091801476640660026431","files/20230405140819090_QFieldCamera20230405_1608193825982853412578715","files/20230405140828347_QFieldCamera20230405_1608287127166846075627097","files/20230405140843760_QFieldCamera20230405_1608436497569837847825997","files/20230405140902646_QFieldCamera20230405_1609028376382838809210282",7.15645409410017,46.7924732819227,NA
12,"Ranunculus gramineus L.","dbgi_001130","files/20230405143630826_QFieldCamera20230405_1636305655718488335610723","files/20230405143638369_QFieldCamera20230405_1636381475144257782362788","files/20230405143645544_QFieldCamera20230405_1636456232852733791772194","files/20230405143653603_QFieldCamera20230405_1636539109347031627872869","files/20230405143707101_QFieldCamera20230405_1637074912624930783498916",7.15651002468296,46.7923341357645,NA
