"fid","Plant_ID","spl_code","Panel","General","Detail","Cut","Panel.Label","x_coord","y_coord","mg"
26,"Citrus microcarpa Bunge","dbgi_001086","DCIM/JPEG_20230223111403052.jpg","DCIM/JPEG_20230223111150520.jpg","DCIM/JPEG_20230223111224945.jpg","DCIM/JPEG_20230223111243444.jpg","DCIM/JPEG_20230223111433769.jpg",7.15509211937706,46.7931342280371,NA
24,"Citrus reticulata Blanco","dbgi_001087","DCIM/JPEG_20230223110006951.jpg","DCIM/JPEG_20230223110142941.jpg","DCIM/JPEG_20230223110111892.jpg","DCIM/Stephanie_sampleCitrus reticulata Blancodbgi_001087DCIM/JPEG_20230223110049688.jpg.jpg","DCIM/JPEG_20230223110023124.jpg",7.15503881877489,46.7931535108432,NA
30,"Commiphora abyssinica Engl.","dbgi_001088","DCIM/JPEG_20230223114030899.jpg","DCIM/JPEG_20230223114107647.jpg","DCIM/JPEG_20230223114131827.jpg","DCIM/JPEG_20230223114226606.jpg","DCIM/JPEG_20230223114042527.jpg",7.15561461227517,46.7931201891866,NA
25,"Citrus sinensis Osbeck","dbgi_001089","DCIM/JPEG_20230223110726139.jpg","DCIM/JPEG_20230223110700032.jpg","DCIM/JPEG_20230223110810471.jpg","DCIM/JPEG_20230223110843936.jpg","DCIM/JPEG_20230223110744214.jpg",7.15503653752943,46.7931475039566,NA
28,"Quassia amara L.","dbgi_001090","DCIM/JPEG_20230223112953282.jpg","DCIM/JPEG_20230223112847616.jpg","DCIM/JPEG_20230223113039735.jpg","DCIM/JPEG_20230223113111990.jpg","DCIM/JPEG_20230223113006467.jpg",7.15587594560106,46.7927072076133,NA
33,"Acer opalus Mill.","dbgi_001091","DCIM/JPEG_20230224133653090.jpg","DCIM/JPEG_20230224133633389.jpg","DCIM/JPEG_20230224133535171.jpg","DCIM/Stephanie_sampleAcer opalus Mill.dbgi_001091DCIM/JPEG_20230224133449525.jpg.jpg","DCIM/JPEG_20230224133426436.jpg",7.15660050505342,46.7921198084876,NA
34,"Acer griseum (Franch.) Pax","dbgi_001092","DCIM/JPEG_20230224133848647.jpg","DCIM/JPEG_20230224133858726.jpg","DCIM/JPEG_20230224133908536.jpg","DCIM/JPEG_20230224133929329.jpg","DCIM/JPEG_20230224134111896.jpg",7.15666241954939,46.7921005039397,NA
35,"Acer capillipes Maxim.","dbgi_001093","DCIM/JPEG_20230224134321085.jpg","DCIM/JPEG_20230224134328959.jpg","DCIM/JPEG_20230224134341455.jpg","DCIM/JPEG_20230224134440784.jpg","DCIM/JPEG_20230224134602897.jpg",7.15674504027657,46.7920617926505,NA
36,"Acer rufinerve Siebold et Zucc.","dbgi_001094","DCIM/JPEG_20230224134804291.jpg","DCIM/JPEG_20230224134815990.jpg","DCIM/JPEG_20230224134827762.jpg","DCIM/JPEG_20230224134855912.jpg","DCIM/JPEG_20230224135024551.jpg",7.15687919577717,46.7920184918446,NA
37,"Acer palmatum Murray","dbgi_001095","DCIM/JPEG_20230224135230971.jpg","DCIM/JPEG_20230224135554583.jpg","DCIM/JPEG_20230224135243452.jpg","DCIM/JPEG_20230224135511601.jpg","DCIM/JPEG_20230224135307027.jpg",7.15694970126381,46.7919980291428,NA
38,"Acer saccharinum L.","dbgi_001096","DCIM/JPEG_20230224135844566.jpg","DCIM/JPEG_20230224135854330.jpg","DCIM/JPEG_20230224135906804.jpg","DCIM/JPEG_20230224135936977.jpg","DCIM/JPEG_20230224140222450.jpg",7.15709497983613,46.7919618312636,NA
39,"Acer japonicum Thunb.","dbgi_001097","DCIM/JPEG_20230224140426466.jpg","DCIM/JPEG_20230224140436422.jpg","DCIM/JPEG_20230224140447779.jpg","DCIM/JPEG_20230224140513144.jpg","DCIM/JPEG_20230224140618215.jpg",7.15709852210158,46.7919412027431,NA
40,"Acer buergerianum Miq.","dbgi_001098","DCIM/JPEG_20230224141009726.jpg","DCIM/JPEG_20230224141019860.jpg","DCIM/JPEG_20230224141035637.jpg","DCIM/JPEG_20230224141418851.jpg","DCIM/JPEG_20230224141259312.jpg",7.15714551697656,46.7919837728715,NA
41,"Acer hyrcanum Fisch. et C.A. Mey.","dbgi_001099","DCIM/JPEG_20230224141953239.jpg","DCIM/JPEG_20230224142014459.jpg","DCIM/JPEG_20230224142022448.jpg","DCIM/JPEG_20230224142039618.jpg","DCIM/JPEG_20230224142002528.jpg",7.15703432326541,46.7919050760182,NA
42,"Acer negundo L. subsp. negundo","dbgi_001100","DCIM/JPEG_20230224142335796.jpg","DCIM/JPEG_20230224142140047.jpg","DCIM/JPEG_20230224142224193.jpg","DCIM/JPEG_20230224142241968.jpg","DCIM/JPEG_20230224142318283.jpg",7.15706795945017,46.7918756774296,NA
43,"Acer saccharum Marshall","dbgi_001101","DCIM/JPEG_20230224142853145.jpg","DCIM/JPEG_20230224142905225.jpg","DCIM/JPEG_20230224142915427.jpg","DCIM/JPEG_20230224142938036.jpg","DCIM/JPEG_20230224143042281.jpg",7.1571137259364,46.7918250819243,NA
46,"Acer campestre L.","dbgi_001104","DCIM/JPEG_20230224143945588.jpg","DCIM/JPEG_20230224144055061.jpg","DCIM/JPEG_20230224144112488.jpg","DCIM/JPEG_20230224144121746.jpg","DCIM/JPEG_20230224144141514.jpg",7.15719688593077,46.791847104229,NA
47,"Acer tataricum L. subsp. tataricum","dbgi_001105","DCIM/JPEG_20230224144507982.jpg","DCIM/JPEG_20230224144607605.jpg","DCIM/JPEG_20230224144535336.jpg","DCIM/JPEG_20230224144551322.jpg","DCIM/JPEG_20230224144522537.jpg",7.15717101962562,46.7918682671633,NA
48,"Acer sempervirens L.","dbgi_001106","DCIM/JPEG_20230224145021943.jpg","DCIM/JPEG_20230224145044214.jpg","DCIM/JPEG_20230224145056917.jpg","DCIM/JPEG_20230224145119600.jpg","DCIM/JPEG_20230224145031032.jpg",7.1566092512137,46.7920891690573,NA
49,"Acer monspessulanum L.","dbgi_001107","DCIM/JPEG_20230224145727996.jpg","DCIM/JPEG_20230224145737533.jpg","DCIM/JPEG_20230224145653048.jpg","DCIM/JPEG_20230224145708510.jpg","DCIM/JPEG_20230224145628236.jpg",7.15669447225014,46.7920457471563,NA
50,"Acer carpinifolium Siebold et Zucc.","dbgi_001108","DCIM/JPEG_20230224145854903.jpg","DCIM/JPEG_20230224150059238.jpg","DCIM/JPEG_20230224145938066.jpg","DCIM/JPEG_20230224150021313.jpg","DCIM/JPEG_20230224145923193.jpg",7.15683299147018,46.791988895573,NA
32,"Ruta graveolens L.","dbgi_001109","DCIM/JPEG_20230224132744258.jpg","DCIM/JPEG_20230224132713813.jpg","DCIM/JPEG_20230224132758249.jpg","DCIM/JPEG_20230224132833974.jpg","DCIM/JPEG_20230224132638006.jpg",7.15665059149839,46.7930444830068,NA
31,"Ruta chalepensis L.","dbgi_001110","DCIM/JPEG_20230224132248217.jpg","DCIM/JPEG_20230224132310720.jpg","DCIM/JPEG_20230224132321387.jpg","DCIM/JPEG_20230224132329093.jpg","DCIM/JPEG_20230224132336858.jpg",7.15550289551149,46.7931772491762,NA
44,"Acer mono Maxim.","dgbi_001102","DCIM/JPEG_20230224143245407.jpg","DCIM/JPEG_20230224143140051.jpg","DCIM/JPEG_20230224143253006.jpg","DCIM/JPEG_20230224143302966.jpg","DCIM/JPEG_20230224143229741.jpg",7.15712734129923,46.7918481114475,NA
45,"Acer cappadocicum Gled.","dgbi_001103","DCIM/JPEG_20230224143621584.jpg","DCIM/JPEG_20230224143630796.jpg","DCIM/JPEG_20230224143823563.jpg","DCIM/JPEG_20230224143736867.jpg","DCIM/JPEG_20230224143711503.jpg",7.1571799293106,46.7918063773456,NA
