mg;Plant_ID;spl_code;Airtable;unknown;x_coord;y_coord;UUID
47.8;Ribes rubrum L. 'Blanc de Versailles';DBGI_SPL_000438;;;7.157158963;46.79226029;{c7f44082-0992-44b7-8f0c-2cb2cd83c4e5}
49.6;Erica terminalis Salisb.;DBGI_SPL_000439;;;7.156699635;46.79249221;{3f083952-bc1c-4b94-b011-0598717fa087}
47.8;Primula auricula L.;DBGI_SPL_000440;;;7.156694532;46.79250118;{0955f297-834c-48b4-b674-c770fe850635}
49.6;Polemonium caeruleum L.;DBGI_SPL_000441;;;7.15664194;46.79250971;{ff4a627a-df7a-4f3a-a487-52c89b3fee7d}
49.9;;DBGI_SPL_000442;;arbutus unedo selon panneau;7.156691445;46.79249022;{15c86b8e-8685-4940-a81d-726e0ebe27ef}
48.8;Ampelopsis glandulosa var. brevipedunculata (Maxim.) Momiy.;DBGI_SPL_000443;;;7.157037786;46.79245239;{2ea78b85-3eab-40dd-bee8-a1376ee7c413}
50.1;Taxus baccata L. femelle;DBGI_SPL_000444;;;7.156996002;46.79231564;{f0a1b63c-95b9-4c02-bae4-69e68f69489e}
49.5;;DBGI_SPL_000445;;sassafras albidum selon panneau;7.156758911;46.79236605;{93b2399d-35a0-4649-abeb-234b19793854}
48.2;Vitis vulpina L.;DBGI_SPL_000446;;;7.157018105;46.79243154;{8a260e13-1a27-451b-9e94-66aaee69fa1d}
51.5;Sempervivum grandiflorum Haw.;DBGI_SPL_000447;;;7.15706576;46.79243536;{4a310760-5e04-443c-8ec5-7c0fd5992f6a}
48.8;Saxifraga hypnoides L.;DBGI_SPL_000448;;;7.157094393;46.79242498;{7ab6807e-aa3e-4f33-bec8-5547da5e1868}
52.1;Actinidia kolomikta (Maxim. et Rupr.) Maxim.;DBGI_SPL_000449;;;7.156759948;46.79247238;{800fc9e2-8adf-4af1-81d1-3a7c9bf22059}
50.4;Hydrangea arborescens subsp. discolor (Ser.) E.M. McClint.;DBGI_SPL_000450;;;7.156956753;46.79245723;{1006a9d3-3536-460a-84cd-96969236b325}
50;Hydrangea paniculata Siebold 'Grandiflora';DBGI_SPL_000451;;;7.156967835;46.79245931;{50d17e7e-37dd-4059-8b05-2771da165173}
51;Paeonia rockii D.Y.Hong;DBGI_SPL_000452;;;7.15700057;46.7924186;{cb5a685d-a108-4839-aa15-048dada58368}
47.5;Sempervivum montanum L.;DBGI_SPL_000453;;;7.157071142;46.79243053;{920b0712-5d5e-45de-bb7f-254234b80306}
51;Saxifraga marginata Sternb.;DBGI_SPL_000454;;;7.157085713;46.79242176;{73dd4d1e-2221-42cc-9198-5fa92a61e497}
50.5;Dryopteris affinis (Lowe) Fraser-Jenk.;DBGI_SPL_000455;;;7.1568708;46.79236876;{830a74d8-cb09-445b-86f0-3b022b31735d}
48.2;Araucaria araucana (Molina) K. Koch;DBGI_SPL_000456;;;7.156956691;46.79237411;{05b38322-bb68-4904-bf5a-ee4e4b29088c}
48.4;Impatiens x new guinea;DBGI_SPL_000457;;;7.156604251;46.79251621;{8ead1ebe-de3a-4eb7-bd26-1a1087c58121}
51.7;Ribes uva-crispa var. sativum DC. 'Hinnonmï¿½ki';DBGI_SPL_000458;;;7.157148524;46.79224031;{d00adfb1-d554-496f-a703-bca0c8774db8}
moisi;Sempervivum tectorum L. subsp. tectorum;DBGI_SPL_000459;;;7.157068725;46.79243195;{9f22a417-dd36-4d15-940a-d96a2c818ecf}
48.5;Phlox amplifolia Britton;DBGI_SPL_000460;;;7.156650554;46.79251047;{7213dbf9-0ff2-4a0d-930a-4c32aa5f2187}
49.8;;DBGI_SPL_000461;;PiÃ©ris selon Ã©criteau;7.156682513;46.79249318;{3e6e29aa-9195-42cc-a836-3cd0b87fcfb4}
49.4;Vitis labrusca L.;DBGI_SPL_000462;;;7.157017536;46.79244759;{0c658c9c-6f18-4216-9358-bdffd2552e1c}
51.4;Asimina triloba (L.) Dunal 'Sunflower';DBGI_SPL_000463;;;7.156739238;46.79239315;{8fc438e8-4303-45aa-b06e-2cc1a5339549}
51.1;Nymphaea alba L.;DBGI_SPL_000464;;;7.156738294;46.79243076;{7a45dbfe-2c54-40da-9681-0dc174a95709}
49;Paeonia lutea Franch.;DBGI_SPL_000465;;;7.157035922;46.79238825;{f671e9df-eb5d-483f-8381-ed61b1cc4764}
51.1;Pterostyrax hispida Siebold et Zucc.;DBGI_SPL_000466;;;7.156820149;46.79247643;{5a77e6c8-5abd-4755-bfe2-3cca3011bd29}
50.6;Athyrium filix-femina (L.) Roth;DBGI_SPL_000467;;;7.156878179;46.79237523;{6e6d527c-58cd-49af-a5e4-b93a7411d963}
51.7;Fothergilla gardenii L.;DBGI_SPL_000468;;;7.157089003;46.79232889;{ece80f2e-0d92-49d5-9d13-9f5044b11650}
50.4;Mitella caulescens Nutt.;DBGI_SPL_000469;;;7.157115971;46.79241383;{a3296e78-bc5d-466c-a21a-b51a752cd1e9}
49.7;Phlox drummondii Hook.;DBGI_SPL_000470;;;7.156637982;46.79250265;{1ca477db-c3ab-4ce3-a861-3c89b635ff9d}
51.3;Vaccinium corymbosum L. 'Patriot';DBGI_SPL_000471;;;7.15666673;46.79249796;{9c738771-29bb-42b0-af7a-8564dc220de8}
50.6;Tulbaghia violacea Harv.;DBGI_SPL_000472;;;7.156648536;46.79239105;{3cb687f6-cc92-4be4-87f4-c791d9051526}
49.1;Polystichum aculeatum (L.) Roth;DBGI_SPL_000473;;;7.15687494;46.79235849;{7921147f-2fa6-44d6-b785-8f2569ac8c13}
48.2;Cobaea scandens Cav.;DBGI_SPL_000474;;;7.156636298;46.79250661;{58680eeb-2fb7-4f69-b4d2-8d8e01ebce78}
49.4;Aaunknown;DBGI_SPL_000475;;fleurs roses Ã  violettes;7.156608564;46.79251298;{d99131bf-9e68-482c-b2af-e3a232dec2ba}
47.7;Gaultheria procumbens L.;DBGI_SPL_000476;;;7.156663268;46.79249634;{c5d1fa19-88cf-47e8-9e72-3c5bd539058b}
48.9;Lysimachia punctata L.;DBGI_SPL_000477;;;7.156683182;46.79250508;{11f9f620-a02a-41d7-9e7e-e92485da6eec}
48.3;Allium insubricum Boiss. et Reut.;DBGI_SPL_000478;;;7.1566544;46.79239181;{1a26164f-f5e2-44c2-be9d-5a7127909302}
47.9;Liquidambar styraciflua L.;DBGI_SPL_000479;;;7.157091502;46.79234685;{c4d7ffe0-cbe9-4251-8ae0-2b91330f2bae}
49.7;Phedimus middendorffianus (Maxim.) 't Hart;DBGI_SPL_000480;;;7.157065892;46.79243014;{8b3d9c0e-064f-4ff9-b02e-9f7851afffd7}
48.7;Deutzia scabra Thunb. 'Pride of Rochester';DBGI_SPL_000481;;;7.156937364;46.79246309;{d706c669-9430-4e58-8609-15d2984d5e5c}
51;Erica vagans L.;DBGI_SPL_000482;;;7.156702136;46.79248726;{3ff317cc-cef2-452b-adc8-3843a149ef23}
49.8;Lysimachia clethroides Duby;DBGI_SPL_000483;;;7.156671408;46.7925076;{574093fe-f0c3-46ad-aca8-19a10739582c}
50.3;Ephedra fragilis Desf. s.l. Femelle;DBGI_SPL_000484;;;7.157055323;46.79229531;{0d573a8e-d9db-4c81-9072-3fe2fe190843}
52.2;Primula veris L. subsp. veris;DBGI_SPL_000485;;;7.156690352;46.79250159;{77e9ce3d-c80d-4827-ba54-281b15129ed6}
47.9;Asparagus officinalis L.;DBGI_SPL_000486;;;7.156678937;46.7923558;{08047bfc-729a-4ee4-874f-3e0f057e0370}
48.8;Franklinia alatamaha Marshall;DBGI_SPL_000487;;;7.156785277;46.79247531;{81831c3a-321d-4921-9b75-0a23b93a8862}
48.2;Asplenium adiantum-nigrum L.;DBGI_SPL_000488;;;7.1568903;46.79237401;{4e14e1c0-a0c8-4d3e-ba8c-82e0b27416af}
51;Cupressus sempervirens L.;DBGI_SPL_000489;;;7.157028037;46.79232851;{0eac2763-fd05-4ccd-90ea-f067d617d47a}
49.4;Cercidiphyllum japonicum Sieb. et Zucc. Mï¿½le;DBGI_SPL_000490;;;7.157137173;46.79233188;{959b1916-0413-4fb6-aead-384033203a71}
49.3;Chiastophyllum oppositifolium (Ledeb.) A.Berger;DBGI_SPL_000491;;;7.157070887;46.79243414;{8ed34e1e-39b3-4e26-a572-b6c5709fe0b3}
52.1;Clethra alnifolia L.;DBGI_SPL_000492;;;7.156719906;46.79248799;{c646e8c6-a259-42da-9c26-377f406453d8}
52.2;Cornus alternifolia L. f.;DBGI_SPL_000493;;;7.156892438;46.79248086;{abf1b233-ac74-41db-80ac-52a0535017e6}
49.7;Sedum telephium L. s.l.;DBGI_SPL_000494;;;7.157061219;46.79243469;{a47d39bd-c040-4580-9162-ac7512dd0772}
52;Iris lactea Pall. fo. lactea;DBGI_SPL_000495;;;7.156653213;46.79244324;{ca69271d-add3-44ff-8040-856c607f1873}
49.3;Abies koreana E.H. Wilson;DBGI_SPL_000496;;;7.156946136;46.79233635;{14a829f0-4c89-45ec-bfb5-a0401593c6ac}
47.9;Tiarella cordifolia L.;DBGI_SPL_000497;;;7.157106903;46.79240959;{dcd035a5-4409-43c6-8229-b536afe4b9cd}
52.2;Darmera peltata (Benth.) Voss;DBGI_SPL_000498;;;7.157127511;46.79240612;{67263e46-8448-49d4-b9da-0ff72fc36906}
51.6;Sinojackia rehderiana Hu;DBGI_SPL_000499;;;7.156851916;46.79248785;{9fbeb7c9-5b10-47db-953c-b623a542bf1f}
51.6;Diospyros lotus L. Femelle;DBGI_SPL_000500;;;7.156746879;46.79249194;{ee8cfdba-794b-47e3-8e25-b7d9930de2bb}
48.4;Heuchera americana L. s.l.;DBGI_SPL_000501;;;7.157102514;46.79241742;{f900eea7-9e63-432d-b90b-00b0e9df4e89}
50.5;Parrotia persica (DC.) C.A. Mey.;DBGI_SPL_000502;;;7.157096508;46.79237633;{af2e0a3b-7955-4995-b90d-27d48ff6204f}
;;DBGI_SPL_000503;;francoa sonchifolia selon panneau;7.157102639;46.79242015;{9ed20ea8-0c1e-4726-9713-ddc7973e0022}
50.8;Hydrangea macrophylla (Murray) Ser.;DBGI_SPL_000504;;;7.156984191;46.79247489;{f182fe17-a451-4b22-811d-9070d41e9ee0}
51.5;Gunnera manicata Delchev.;DBGI_SPL_000507;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recHIGeNmbE3NwPFI;;7.156647975;46.79221201;{3272059f-bbe2-48f0-86a0-3a8b1168ea5a}
48.7;Akebia quinata (Houtt.) Decne.;DBGI_SPL_000508;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/reczs2a572yZB8xjT;;7.156571078;46.79228678;{9b34991d-8400-4e56-9b91-f943c027234e}
49.6;Mahonia aquifolium (Pursh) Nutt.;DBGI_SPL_000509;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recy1SHA5i50zOJ8C;;7.156506115;46.79239183;{b4888afe-6026-4805-8957-38a3cdd2bc2d}
50.7;Secale strictum (C. Presl) C. Presl subsp. strictum;DBGI_SPL_000511;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recp9tCuZdsNGo8f5;;7.156573669;46.79236659;{2d3a6f1c-375c-4667-8c9c-ffa72557141a}
49.2;;DBGI_SPL_000513;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/rech62m6luSkD2uEo;Platanes orientalis;7.156577712;46.79225373;{6263d4bf-918a-4130-8c95-99419d1b3d5d}
48.4;Sinofranchetia chinensis (Franch.) Hemsl.;DBGI_SPL_000514;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/rec1DMMRPtIZBps7P;;7.156563918;46.79230093;{072fe807-338d-48ff-8374-5bd8145df575}
